"DATE","TIME PERIOD","Gross domestic product at market prices (MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N)"
"2010-03-31","2010Q1","2510372.50"
"2010-06-30","2010Q2","2534256.55"
"2010-09-30","2010Q3","2545424.81"
"2010-12-31","2010Q4","2559883.44"
"2011-03-31","2011Q1","2582663.15"
"2011-06-30","2011Q2","2582927.28"
"2011-09-30","2011Q3","2585597.51"
"2011-12-31","2011Q4","2575660.22"
"2012-03-31","2012Q1","2570196.95"
"2012-06-30","2012Q2","2562570.29"
"2012-09-30","2012Q3","2559945.60"
"2012-12-31","2012Q4","2548922.63"
"2013-03-31","2013Q1","2539590.65"
"2013-06-30","2013Q2","2553971.13"
"2013-09-30","2013Q3","2561615.46"
"2013-12-31","2013Q4","2569363.83"
"2014-03-31","2014Q1","2579176.63"
"2014-06-30","2014Q2","2585000.20"
"2014-09-30","2014Q3","2597265.72"
"2014-12-31","2014Q4","2605798.26"
"2015-03-31","2015Q1","2622325.79"
"2015-06-30","2015Q2","2634851.41"
"2015-09-30","2015Q3","2645509.74"
"2015-12-31","2015Q4","2658196.78"
"2016-03-31","2016Q1","2672787.61"
"2016-06-30","2016Q2","2679701.64"
"2016-09-30","2016Q3","2691376.43"
"2016-12-31","2016Q4","2712235.10"
"2017-03-31","2017Q1","2731569.31"
"2017-06-30","2017Q2","2753381.78"
"2017-09-30","2017Q3","2773893.49"
"2017-12-31","2017Q4","2796205.38"
"2018-03-31","2018Q1","2796585.12"
"2018-06-30","2018Q2","2811215.81"
"2018-09-30","2018Q3","2811046.20"
"2018-12-31","2018Q4","2830939.83"
"2019-03-31","2019Q1","2849001.62"
"2019-06-30","2019Q2","2858071.71"
"2019-09-30","2019Q3","2861965.69"
"2019-12-31","2019Q4","2862551.94"
"2020-03-31","2020Q1","2765937.70"
"2020-06-30","2020Q2","2458921.57"
"2020-09-30","2020Q3","2745061.40"
"2020-12-31","2020Q4","2747571.01"
"2021-03-31","2021Q1","2759544.27"
"2021-06-30","2021Q2","2819396.08"
"2021-09-30","2021Q3","2876732.82"
"2021-12-31","2021Q4","2893111.24"
"2022-03-31","2022Q1","2911550.82"
"2022-06-30","2022Q2","2934671.90"
"2022-09-30","2022Q3","2948189.93"
"2022-12-31","2022Q4","2947205.69"
"2023-03-31","2023Q1","2949898.66"
"2023-06-30","2023Q2","2953353.32"
"2023-09-30","2023Q3","2953787.45"
"2023-12-31","2023Q4","2951953.14"